City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
舟山市,Zhoushan,94,331,3309,33,浙江省,Zhejiang,0,10,51.41,7.916666667,0.00,17.75,0.408333333,22.04166667,52.20833333,7.166666667
台州市,Taizhou,95,240,3310,33,浙江省,Zhejiang,0,147,84.58,34.125,0.00,50.375,0.64125,31.5,37.875,6.833333333
丽水市,Lishui,96,146,3311,33,浙江省,Zhejiang,0,17,21.9,30.16666667,0.00,57.79166667,0.685833333,33.375,28.54166667,5.791666667
合肥市,Hefei,97,89,3401,34,安徽省,Anhui,1,174,227.84,47.125,0.57,74.95833333,0.757916667,59.375,9.208333333,7.333333333
芜湖市,Wuhu,98,263,3402,34,安徽省,Anhui,0,34,115.2,57.29166667,0.00,63.75,0.702916667,55.5,12.54166667,8.375
蚌埠市,Bengbu,99,18,3403,34,安徽省,Anhui,5,160,80.97,50.33333333,3.13,75.875,0.57125,43.70833333,23.125,15.91666667
淮南市,Huainan,100,107,3404,34,安徽省,Anhui,0,27,105.37,55.875,0.00,83.125,0.761666667,50.375,17.125,14.54166667
马鞍山市,Maanshan,101,168,3405,34,安徽省,Anhui,0,38,59,55.79166667,0.00,70.91666667,0.681666667,49.875,14.58333333,9.416666667
淮北市,Huaibei,102,106,3406,34,安徽省,Anhui,0,27,63.35,52.79166667,0.00,76.75,0.5325,36.75,33.25,8.041666667
铜陵市,Tongling,103,251,3407,34,安徽省,Anhui,0,29,43.44,46.20833333,0.00,79.58333333,0.80625,48.41666667,23.58333333,14
安庆市,Anqing,104,7,3408,34,安徽省,Anhui,0,83,57.64,46.20833333,0.00,58.95833333,0.6875,42.83333333,32.20833333,13.66666667
黄山市,Huangshan,105,111,3410,34,安徽省,Anhui,0,9,28.63,26.41666667,0.00,41.66666667,0.518333333,19.875,45.33333333,5.875
滁州市,Chuzhou,106,43,3411,34,安徽省,Anhui,0,13,38.88,47.91666667,0.00,68.75,0.730833333,63.16666667,21.5,6.791666667
阜阳市,Fuyang,107,67,3412,34,安徽省,Anhui,0,155,84.5,69.70833333,0.00,100.7083333,0.71,48.25,12.875,6.583333333
宿州市,Suzhou,108,285,3413,34,安徽省,Anhui,0,41,277.08,21.08333333,0.00,31.29166667,0.478333333,40.08333333,34.45833333,2.75
六安市,Liuan,110,159,3415,34,安徽省,Anhui,0,69,44.35,41.75,0.00,70,0.886666667,36.04166667,30.70833333,6.416666667
亳州市,Bozhou,111,28,3416,34,安徽省,Anhui,0,108,33,54.66666667,0.00,86.16666667,0.79375,36.75,18,7.875
池州市,Chizhou,112,41,3417,34,安徽省,Anhui,0,17,27.62,41.45833333,0.00,81.41666667,0.839583333,53.75,12,20.79166667
宣城市,Xuancheng,113,288,3418,34,安徽省,Anhui,0,6,26.62,50.54166667,0.00,61.25,0.690416667,51.45833333,32.66666667,7.166666667
福州市,Fuzhou,114,63,3501,35,福建省,Fujian,1,72,230.4,22.625,1.39,38.66666667,0.433333333,26.45833333,56.29166667,5.041666667
厦门市,Xiamen,115,213,3502,35,福建省,Fujian,0,35,206.57,18.91666667,0.00,25.41666667,0.508333333,17.41666667,70.375,4.208333333
莆田市,Putian,116,193,3503,35,福建省,Fujian,0,56,62.8,19.66666667,0.00,38.45833333,0.47875,19.70833333,54.58333333,7.75
三明市,Sanming,117,211,3504,35,福建省,Fujian,0,14,22.08,23,0.00,29.16666667,0.85125,20.41666667,29.29166667,7.75
泉州市,Quanzhou,118,207,3505,35,福建省,Fujian,0,47,103.4,18.75,0.00,30,0.358333333,24.5,60.20833333,3.958333333
漳州市,Zhangzhou,119,320,3506,35,福建省,Fujian,0,20,44.6,21.5,0.00,46.91666667,0.727083333,34.75,32.70833333,4.625
南平市,Nanping,120,181,3507,35,福建省,Fujian,0,20,30.28,17.33333333,0.00,19.45833333,0.672083333,15.625,38.79166667,4.708333333
龙岩市,Longyan,121,161,3508,35,福建省,Fujian,0,6,45.53,22.45833333,0.00,30.95833333,0.75,22.20833333,29.91666667,7.583333333
宁德市,Ningde,122,186,3509,35,福建省,Fujian,0,26,20.56,26.33333333,0.00,43.33333333,0.49375,22.70833333,44.5,7.25
南昌市,Nanchang,123,176,3601,36,江西省,Jiangxi,0,230,249.7,41.375,0.00,79.08333333,0.795416667,48.04166667,18.91666667,15.5
景德镇市,Jingdezhen,124,132,3602,36,江西省,Jiangxi,0,6,40.88,27.45833333,0.00,50.95833333,0.592916667,22.125,37.33333333,8.416666667
萍乡市,Pingxiang,125,192,3603,36,江西省,Jiangxi,0,33,42.82,71.5,0.00,119.0833333,1.651666667,41.70833333,20.16666667,30.25
九江市,Jiujiang,126,133,3604,36,江西省,Jiangxi,0,116,73.71,46.45833333,0.00,62,0.617916667,40.25,18.29166667,13.66666667
新余市,Xinyu,127,280,3605,36,江西省,Jiangxi,0,129,47.6,43.375,0.00,83.375,0.806666667,39.91666667,28.08333333,26
鹰潭市,Yingtan,128,305,3606,36,江西省,Jiangxi,0,18,29.7,41.95833333,0.00,63.54166667,0.49,41.20833333,35.25,48.625
赣州市,Ganzhou,129,70,3607,36,江西省,Jiangxi,1,74,139.55,51.25,1.35,84.66666667,1.068333333,39.5,55.25,10.41666667
吉安市,Jian,130,115,3608,36,江西省,Jiangxi,0,22,41.46,46.20833333,0.00,84.41666667,1.243333333,32,40.54166667,16.83333333
宜春市,Yichun,131,302,3609,36,江西省,Jiangxi,0,106,53.9,54.83333333,0.00,62.29166667,0.8375,23.45833333,36.41666667,13.29166667
