City_EN,Prov_EN,City_CN,PM10_Poll_Ind,PM10,PM2.5_Poll_Ind,PM2.5,CO_Poll_Ind,CO,NO2_Poll_Ind,NO2,O3_Poll_Ind,O3,SO2_Poll_Ind,SO2,Population,Urban_Area_Sq_Km,Pop_Dens_Proxy,Green_Space,Urban_Rail_Ind,Industrial_Manufacturing,Road_Street_Trans,Arable_Land,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215
Chaoyang,Liaoning,??,1,108.5416667,1,70.45833333,1,1.887916667,0,43.91666667,0,24.625,0,41.08333333,57.45,570,0.100789474,3.94,0,18.15,9.26,0,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Huludao,Liaoning,???,1,119.7916667,1,65.625,1,1.661666667,0,49.83333333,0,20.04166667,0,59.58333333,68.3,443.77,0.153908556,10.5,0,29.3,19.11,0,4,4,5,5,5,5,6,7,7,9,9,9,9,11,11,11,11,12
Changchun,Jilin,??,0,86.5,1,74.79166667,1,1.147083333,0,52.20833333,0,23.5,0,28.33333333,361.92,3427.42,0.105595462,38.69,1,123.86,83.07,28.17,4,4,6,12,16,17,27,28,31,32,37,39,40,42,42,43,44,45
Jilin,Jilin,??,0,89.66666667,1,72.125,1,1.187916667,0,44.45833333,0,38.25,0,23.91666667,1051.48,6658.72,0.157910229,134.5,1,295.96,210.91,44.11,3,3,3,3,4,5,5,4,3,5,5,5,5,5,5,5,5,5
Siping,Jilin,??,0,98.70833333,0,59.54166667,1,1.313333333,0,48.20833333,0,29.25,0,21.08333333,54.41,118.11,0.460672255,3.35,0,16.33,8.53,0.41,1,1,1,1,4,7,8,9,9,10,12,12,12,12,13,14,14,14
Liaoyuan,Jilin,??,1,103.2083333,1,85.04166667,1,1.68125,0,44.29166667,0,30.5,0,21.33333333,45.06,46.3,0.973218143,1.6,0,8.81,3.4,1.05,0,0,0,0,0,3,3,5,5,6,6,6,6,6,6,6,7,7
Tonghua,Jilin,??,0,94.16666667,1,66.5,1,1.635416667,0,50.20833333,0,16.75,0,31.125,43.39,64.75,0.67011583,5.23,0,8.42,6.47,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3
Songyuan,Jilin,??,0,83.08333333,0,54.66666667,1,1.008333333,0,41.41666667,0,29.5,0,11.79166667,40.48,81.8,0.494865526,11.26,0,6.8,9.83,0.21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Baicheng,Jilin,??,0,55.375,0,35.08333333,0,0.675,0,21.625,0,50.16666667,0,14.125,24.22,67.5,0.358814815,3.1,0,11.63,6.15,2.1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Haerbin,Heilongjiang,???,1,100.9166667,1,90.54166667,1,1.015833333,0,44.16666667,0,32.66666667,0,34.45833333,421.4,467.3,0.901776161,41.01,1,96.07,55.95,13.63,13,18,25,34,45,63,73,82,94,100,114,128,146,150,159,164,167,182
Qiqihaer,Heilongjiang,????,0,37.54166667,0,25.41666667,0,0.648333333,0,18.54166667,0,44.16666667,0,24.20833333,107.76,140.81,0.765286556,9.2,0,30.85,19.18,0,3,3,3,3,3,6,20,26,27,27,27,30,32,33,33,36,36,38
Jixi,Heilongjiang,??,0,31.29166667,0,22.29166667,0,0.797916667,0,15.125,0,30.91666667,0,2.958333333,65.77,80.41,0.817933093,7.06,0,10.42,6.75,0.21,1,2,4,4,6,9,12,21,29,31,34,34,38,43,44,44,45,46
Hegang,Heilongjiang,??,0,49.45833333,0,28.625,0,0.564166667,0,8.083333333,0,51.91666667,0,12.125,51.9,85,0.610588235,5.36,0,11.27,9.22,0,1,1,1,1,1,2,2,2,2,3,4,5,5,5,5,5,5,5
Shuangyashan,Heilongjiang,???,0,44.625,0,28.875,0,0.625,0,15.33333333,0,50.91666667,0,17.16666667,44.3,118,0.375423729,12.17,0,9.35,9.34,0.4,1,1,2,4,7,12,16,20,36,36,38,38,38,39,39,48,48,49
Daqing,Heilongjiang,??,0,45.04166667,0,33.29166667,0,0.56,0,25.25,0,41.04166667,0,12.5,115.3,323.03,0.356932793,21.83,0,75.22,68.2,0.27,5,7,8,8,11,11,11,13,13,13,13,13,14,15,15,18,19,19
Yichun,Heilongjiang,??,0,62.29166667,0,54.83333333,1,0.8375,0,23.45833333,0,36.41666667,0,13.29166667,53.9,115,0.468695652,13.89,0,12.55,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Jiamusi,Heilongjiang,???,0,42.625,0,36.04166667,0,0.485,0,18.29166667,0,50.08333333,0,11.66666667,58.5,188,0.311170213,17.61,0,15.26,11.37,0,5,8,11,11,11,11,11,12,13,13,13,14,15,15,15,15,15,15
