City_EN,Prov_EN,City_CN,PM10_Poll_Ind,PM10,PM2.5_Poll_Ind,PM2.5,CO_Poll_Ind,CO,NO2_Poll_Ind,NO2,O3_Poll_Ind,O3,SO2_Poll_Ind,SO2,Population,Urban_Area_Sq_Km,Pop_Dens_Proxy,Green_Space,Urban_Rail_Ind,Industrial_Manufacturing,Road_Street_Trans,Arable_Land,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215
Haikou,Hainan,??,0,28.75,0,11.875,0,0.662083333,0,6.791666667,0,81.875,0,4,120.08,562.4,0.213513514,13.1,0,9.2,27,0,9,9,11,11,13,14,16,16,19,23,23,28,29,29,29,30,33,33
Sanya,Hainan,??,0,17.25,0,8.208333333,0,0.65625,0,5.666666667,0,69.41666667,0,4.416666667,33.54,188,0.178404255,10.93,0,2.43,9.94,0.91,14,14,15,17,17,18,22,30,32,37,40,41,45,46,54,54,54,54
Chongqing,Chongqing,??,0,92.16666667,1,66.45833333,1,0.977916667,0,50.04166667,0,15.41666667,0,10.45833333,1150.52,7440,0.154639785,116.08,1,252.64,243.85,45.36,165,206,238,262,300,337,366,389,411,426,446,468,486,505,518,529,537,544
Chengdu,Sichuan,??,1,124.2083333,1,102.7916667,1,0.92125,0,44.625,0,16.08333333,0,6.291666667,721.62,1281.89,0.562934417,95.91,1,139.17,146.47,6.93,59,69,72,73,77,87,92,97,102,109,120,123,124,125,131,135,139,140
Zigong,Sichuan,??,1,146.2916667,1,118.5,1,1.048333333,0,38.41666667,0,21.91666667,0,8.083333333,104.3,778.32,0.134006578,20.71,0,29.45,13.99,7.08,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Panzhihua,Sichuan,???,0,70.95833333,0,45.04166667,1,2.189583333,0,53.79166667,0,26.83333333,0,25.41666667,55.18,342.56,0.16108127,7.9,0,23.33,6.4,0.33,0,1,7,9,10,10,11,11,11,12,13,13,13,13,13,13,13,13
Luzhou,Sichuan,??,1,131.5,1,102.4583333,1,1.1425,0,46.5,0,5.333333333,0,13.95833333,118.43,411.38,0.287884681,39.97,0,26.8,35.89,4.24,5,5,5,6,7,9,10,12,13,13,16,17,18,19,19,19,19,19
Deyang,Sichuan,??,1,118.7083333,1,99.5,1,0.857083333,0,34.58333333,0,17.875,0,3.25,50.69,193.59,0.261842037,5.5,0,23.88,18.64,5.62,3,7,7,10,10,12,12,12,12,13,16,16,16,16,17,17,17,17
Mianyang,Sichuan,??,1,107.5833333,1,83,1,0.807083333,0,35.625,0,26.25,0,5.375,100.31,497,0.201830986,12.31,0,34.71,27.34,0,9,11,12,14,17,17,17,18,19,20,20,21,21,22,22,22,22,22
Guangyuan,Sichuan,??,1,132.25,1,99.58333333,1,1.01625,0,47.66666667,0,9.958333333,0,8.625,36.17,216.7,0.166912783,11.53,0,10.07,9.02,2.02,3,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Suining,Sichuan,??,1,101.25,1,72.5,1,1.022916667,0,33.33333333,0,27.54166667,0,8.666666667,47.66,316,0.150822785,11.04,0,11.51,18.74,2.58,4,5,5,5,5,5,5,5,5,6,8,10,10,10,10,10,10,12
Neijiang,Sichuan,??,1,119.5416667,1,97.58333333,1,1.142916667,0,32.66666667,0,29.20833333,0,4.583333333,60.21,278.93,0.21586061,5.1,0,15.93,15.07,7.47,4,6,10,11,12,15,15,16,17,17,17,17,18,20,21,21,22,22
Leshan,Sichuan,??,1,141.0833333,1,105.0416667,1,0.901666667,0,36.91666667,0,22.75,0,9.75,64.11,349.59,0.183386252,10.91,0,6.33,12.27,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Nanchong,Sichuan,??,1,109.9583333,1,81.5,1,0.9725,0,34.45833333,0,33.125,0,8.875,107.1,420,0.255,9.71,0,22.2,21.33,0,9,11,16,23,26,27,28,29,30,31,32,33,34,34,35,35,35,35
Meishan,Sichuan,??,1,126.7916667,1,90.54166667,1,1.045833333,0,49.375,0,13.20833333,0,11.04166667,47.21,253.56,0.186188673,3.87,0,7.19,8.84,0.41,0,0,0,0,0,0,0,0,0,6,7,7,7,8,8,8,8,8
Yibin,Sichuan,??,1,147.4583333,1,123.0416667,1,1.125416667,0,41.29166667,0,10.66666667,0,5.833333333,100.38,181.2,0.55397351,16.11,0,27.74,23.56,9.03,5,7,7,7,7,7,7,8,9,9,9,9,9,10,11,11,11,11
Guangan,Sichuan,??,1,101.4166667,1,66.20833333,1,0.99,0,34.83333333,0,21.29166667,0,6.625,31.15,137.2,0.227040816,5.63,0,10.4,7.96,0.63,9,13,16,20,21,24,24,24,27,28,28,28,30,30,30,30,30,30
Dazhou,Sichuan,??,1,136.0833333,1,95.58333333,1,1.205416667,0,47.83333333,0,23.54166667,0,9.458333333,82.66,157.37,0.525258944,17.08,0,5.78,20.35,7.43,6,8,9,9,11,13,17,20,23,25,25,28,30,33,36,36,36,36
Yaan,Sichuan,??,1,112.375,1,86.33333333,1,1.140416667,0,37.20833333,0,18.58333333,0,7.041666667,27.28,196.89,0.138554523,2.37,0,8.5,7.7,0.01,2,3,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7
Bazhong,Sichuan,??,0,68.16666667,0,50.25,0,0.746666667,0,30.04166667,0,21.45833333,0,4.625,39.75,160.29,0.247988022,10.09,0,1.51,0.91,0,4,5,8,8,12,12,15,19,20,21,21,22,22,22,22,24,24,24
Ziyang,Sichuan,??,1,109.25,1,82.33333333,1,0.842083333,0,32.79166667,0,35.16666667,0,4.75,27.88,249.23,0.111864543,8.75,0,4.46,6.65,2.74,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Guiyang,Guizhou,??,0,43.33333333,0,28.45833333,0,0.660833333,0,19.375,0,40.08333333,0,12.79166667,213.24,1230,0.173365854,46.63,1,60.07,60.54,0,1,1,4,6,0,0,12,15,18,18,22,27,29,29,33,34,34,34
Liupanshui,Guizhou,???,0,50.83333333,0,28.83333333,1,1.332916667,0,20.45833333,0,42.08333333,0,24.70833333,31.04,276.64,0.112203586,6.36,0,6.44,6.84,0,1,4,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10
Zunyi,Guizhou,??,0,36.58333333,0,24.54166667,1,0.845416667,0,24.75,0,23.16666667,0,11.04166667,106,531.51,0.199431807,12.5,0,24.9,37.98,0,1,1,4,5,8,9,9,9,12,15,15,19,23,25,25,28,31,32
Anshun,Guizhou,??,0,22.70833333,0,19.20833333,0,0.446666667,0,7.666666667,0,56.625,0,12.25,41.93,154.3,0.271743357,5.65,1,11.29,11.54,0,0,0,0,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4
Tongrendiqu,Guizhou,??,0,78.08333333,1,68,1,1.291666667,0,17.875,0,20.58333333,0,1.791666667,39.82,66,0.603333333,5.46,0,3.9,4.68,0.28,2,2,3,3,6,6,6,6,6,6,7,8,9,10,10,10,10,10
Bijiediqu,Guizhou,??,0,53.41666667,0,39.375,1,1.010416667,0,23.54166667,0,18.75,0,9.375,41.23,170.08,0.242415334,2.1,0,11.56,3.52,1.77,1,1,3,4,4,8,11,13,13,21,21,21,21,22,22,23,23,23
Kunming,Yunnan,??,0,32.66666667,0,19.375,0,0.725,0,28.5,0,35.95833333,0,9.916666667,395.68,1782.6,0.221967912,50.18,1,54.96,51.11,0.68,21,24,30,31,32,34,34,37,40,41,41,42,45,46,46,48,48,49
Qujing,Yunnan,??,0,27.45833333,0,14.75,0,0.59375,0,11.70833333,0,56.58333333,0,5.666666667,74.17,124.28,0.596797554,11.07,0,11.75,16.61,4.49,5,5,5,5,6,8,10,10,10,11,11,11,12,13,13,13,13,13
Yuxi,Yunnan,??,0,30.375,0,18.91666667,1,0.8025,0,19.875,0,33.79166667,0,5.75,35.47,102.02,0.347676926,6.64,0,4.6,11.03,2.84,6,6,7,11,12,12,12,13,13,14,14,14,14,14,14,14,14,14
Zhaotongdiqu,Yunnan,??,0,34.58333333,0,16,0,0.395833333,0,10.5,0,65.66666667,0,9.333333333,26.56,61,0.435409836,5.9,0,4.98,7.26,1.54,4,4,6,6,8,9,10,10,10,10,12,12,12,14,14,19,19,25
Baoshandiqu,Yunnan,??,0,26.66666667,0,28.70833333,0,0.48125,0,14.45833333,0,43.33333333,0,6,33.35,68,0.490441176,9.73,0,1.9,8.51,0,5,6,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9
Lijiangdiqu,Yunnan,??,0,21.625,0,12.75,0,0.489583333,0,11.5,0,66.04166667,0,7.583333333,11.89,28.08,0.423433048,4.1,0,2.1,3.64,0.25,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Lincangdiqu,Yunnan,??,0,32.54166667,0,29.04166667,1,0.95,0,18.04166667,0,30.16666667,0,10.16666667,18.4,35.18,0.523024446,2.35,0,1.8,4.17,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lasa,Xizang,??,0,42.125,0,18.45833333,0,0.778333333,0,30.08333333,0,48.08333333,0,6.166666667,30.81,505.42,0.060959202,11.54,0,10.7,16.87,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xian,Shaanxi,??,1,133.5,1,86.95833333,1,1.25875,0,53,0,9.083333333,0,18.91666667,576.56,833.6,0.691650672,132.39,1,79.78,114.03,18.24,22,32,39,47,0,60,70,74,80,88,96,98,104,110,114,114,114,114
Tongchuan,Shaanxi,??,1,118.7916667,1,85.20833333,1,1.17625,0,48.66666667,0,18.875,0,25.54166667,39.21,55,0.712909091,4.79,0,9.45,8.66,0,5,5,5,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8
Baoji,Shaanxi,??,1,123.9583333,1,93.95833333,1,1.198333333,0,48.79166667,0,10.375,0,16.58333333,85.85,156.3,0.549264235,23.92,0,16.51,14.19,0,4,4,6,7,8,10,10,10,12,12,13,13,13,13,13,13,13,13
Xianyang,Shaanxi,??,1,155.8333333,1,108.5833333,1,1.332083333,0,54.54166667,0,6.75,0,11.16666667,91.05,507.5,0.179408867,11.91,0,14.8,15.1,0,5,6,8,9,9,11,15,15,15,16,16,17,17,17,17,17,17,17
Weinan,Shaanxi,??,1,159.5,1,85.58333333,1,1.574583333,0,58.83333333,0,7.333333333,0,20.79166667,52.43,267,0.196367041,14.99,0,5.44,8.9,2.6,4,5,5,5,6,6,9,9,9,9,13,14,14,14,14,14,15,15
Yanan,Shaanxi,??,1,103.4583333,1,89.125,1,1.968333333,0,56.70833333,0,17.875,0,14.20833333,31.12,62.06,0.501450209,13.19,0,2.13,6.01,0,3,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
Hanzhong,Shaanxi,??,1,121.625,1,103,1,1.080833333,0,29.58333333,0,23.70833333,0,8.875,53.04,131.64,0.402917046,12.95,0,6.31,8.74,1.69,6,11,13,15,15,16,19,20,21,21,21,21,21,21,21,21,21,25
Yulin,Shaanxi,??,0,75.54166667,0,50,1,1.214583333,0,25.66666667,0,66,0,21.125,57.97,302.04,0.191928221,12,0,1.8,12.35,0.83,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3
Ankang,Shaanxi,??,0,81.33333333,0,55.20833333,0,0.7,0,30.08333333,0,28.875,0,9.208333333,33.02,160,0.206375,19.69,0,0.79,5.75,0.48,10,13,14,16,17,17,19,21,21,21,21,22,22,22,22,23,24,24
Shangluodiqu,Shaanxi,??,0,80.83333333,1,61.83333333,1,0.972916667,0,41.125,0,35.5,0,75.29166667,25.93,40,0.64825,5.7,0,0.6,2.8,0,2,2,2,2,2,5,6,6,7,7,7,7,7,7,7,7,7,7
Lanzhou,Gansu,??,1,125.75,1,73.66666667,1,2.300833333,1,93.79166667,0,19.25,0,38.375,193.01,346.1,0.557671193,53.23,1,50.58,68.56,12.83,14,15,20,23,24,26,27,27,27,32,33,33,35,35,35,35,35,35
Jinchang,Gansu,??,0,68.79166667,0,39.08333333,1,0.883333333,0,20.45833333,0,40.83333333,0,22.58333333,15.74,52.3,0.300956023,5.59,0,17.52,5.39,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baiyin,Gansu,??,0,79.33333333,0,53.08333333,1,1.158333333,0,36.125,0,36.875,1,90.95833333,38.01,114,0.333421053,6.28,0,21.78,6.34,0,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4
Tianshui,Gansu,??,0,74.20833333,0,44.95833333,1,1.191666667,0,48.83333333,0,10.875,0,26,64.62,60,1.077,11.2,1,10.33,6.07,0,2,2,3,3,8,10,10,10,9,10,12,12,12,12,12,12,12,12
Zhangyediqu,Gansu,??,0,66.08333333,0,46.625,1,0.85625,0,32.625,0,34.20833333,0,12.70833333,26.06,200,0.1303,7.03,0,2.01,3.74,0.85,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dingxidiqu,Gansu,??,0,61.16666667,0,41.95833333,0,0.695833333,0,14.79166667,0,52.75,0,7.916666667,19.03,35.9,0.530083565,4.16,0,2.9,2.93,0.28,2,2,2,3,2,2,2,4,4,8,8,8,8,8,8,9,9,9
Longnandiqu,Gansu,??,0,57.6,0,29.8,1,1.106666667,0,34.26666667,0,17.8,0,31,14.84,40,0.371,2,0,0.16,2,0,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Pingliangdiqu,Gansu,??,1,103.625,0,49.66666667,1,1.310416667,0,46.125,0,14.79166667,0,18.79166667,25.9,255,0.101568627,7.73,0,3,7.1,0.3,1,1,1,1,1,1,1,1,1,2,4,7,8,8,8,9,9,9
Qingyangdiqu,Gansu,??,0,95.41666667,1,71.875,1,1.125,0,31.41666667,0,32.08333333,0,24.66666667,19.83,30,0.661,7.78,0,1.15,3.51,5.5,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3
Xining,Qinghai,??,0,85.5,1,69.20833333,1,2.943333333,0,65.91666667,0,33.04166667,0,29.70833333,125.69,380,0.330763158,24.3,0,4.28,16.57,0,6,8,9,9,12,12,14,15,15,15,15,15,15,15,15,15,15,15
Yinchuan,Ningxia,??,1,143.0833333,1,78.29166667,1,2.66875,0,62.54166667,0,16.875,0,56.83333333,105.4,1773.5,0.059430505,26.69,0,17.56,29.92,0,9,11,15,16,19,20,20,25,27,29,28,28,30,31,32,32,33,33
Shizuishan,Ningxia,???,1,270.0416667,1,165.2916667,1,4.309166667,0,53.54166667,0,15.20833333,1,107.7083333,35.91,118.2,0.303807107,20.1,0,9.65,12.1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Wuzhong,Ningxia,??,1,115.6666667,1,65.125,1,1.55125,0,49.125,0,15.29166667,0,29.08333333,18.75,60,0.3125,8.04,0,7.47,8.64,0.73,5,5,6,7,7,7,7,8,9,9,10,13,15,19,22,25,27,27
Guyuandiqu,Ningxia,??,0,51.91666667,0,40.04166667,1,1.247916667,0,41,0,32.41666667,0,12.58333333,17.65,52.33,0.337282629,9.99,0,1.51,8.7,2.66,1,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5
Wulumuqi,Xinjiang,????,1,107.4166667,1,118.7083333,1,1.871666667,0,68.04166667,0,22.29166667,0,9.5,216.98,1528.8,0.14192831,42,1,105.57,75.32,3.44,7,8,8,8,10,12,12,15,18,18,20,20,20,20,21,23,23,23
Tulufandiqu,Xinjiang,???,1,165.125,1,107.4583333,1,2.804166667,0,63.95833333,0,20.58333333,0,17.70833333,6.9,21.87,0.315500686,3.76,0,1.06,3.91,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3
Akesudiqu,Xinjiang,???,1,175.6666667,1,110.3333333,1,1.564583333,0,68.20833333,0,28.625,0,13.25,31.31,53.9,0.580890538,12.8,0,3.97,4.96,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
