FIPS,County,pm25
55043,Grant County,8.4
55059,Kenosha County,7.4
55063,La Crosse County,7.6
55079,Milwaukee County,8.7
55087,Outagamie County,8
55089,Ozaukee County,6.9
55111,Sauk County,7.3
55119,Taylor County,6.4
55125,Vilas County,4.9
55133,Waukesha County,9.3
56001,Albany County,3.7
56005,Campbell County,1.9
56009,Converse County,2.2
56013,Fremont County,2.5
56021,Laramie County,3.7
56025,Natrona County,3.8
56029,Park County,2.9
56033,Sheridan County,6
56037,Sweetwater County,4.4
56039,Teton County,3.6
72001,"Adjuntas Municipio, Puerto Rico",5.5
72021,"Bayamón Municipio, Puerto Rico",7
72025,"Caguas Municipio, Puerto Rico",7.2
72053,"Fajardo Municipio, Puerto Rico",6.8
72061,"Guaynabo Municipio, Puerto Rico",7.5
72113,"Ponce Municipio, Puerto Rico",6.3
