FIPS,County,DeathRate
36029,Erie County,2.72
36031,Essex County,1.89
36033,Franklin County,0.97
36041,Hamilton County,0.76
36043,Herkimer County,1.15
36045,Jefferson County,0.64
36047,Kings County,5.66
36055,Monroe County,1.69
36059,Nassau County,2.42
36061,New York County,4.93
36063,Niagara County,2.02
36065,Oneida County,2.02
36067,Onondaga County,1.98
36071,Orange County,2.39
36075,Oswego County,1.29
36079,Putnam County,1.18
36081,Queens County,5.36
36085,Richmond County,3.29
36087,Rockland County,2.65
36089,St. Lawrence County,1.67
36091,Saratoga County,0.68
36093,Schenectady County,1.45
36099,Seneca County,4.32
36101,Steuben County,3.06
36103,Suffolk County,2.15
36109,Tompkins County,0.75
36117,Wayne County,1.4
36119,Westchester County,2.23
37001,Alamance County,1.39
37003,Alexander County,1.24
37011,Avery County,1.03
37013,Beaufort County,1.91
37019,Brunswick County,1.5
37021,Buncombe County,1.83
37025,Cabarrus County,1.25
37027,Caldwell County,0.46
37031,Carteret County,0.54
37033,Caswell County,0.74
37035,Catawba County,1.51
37037,Chatham County,2.13
37051,Cumberland County,0.9
37057,Davidson County,0.93
37061,Duplin County,1.75
37063,Durham County,0.87
37065,Edgecombe County,2.32
37067,Forsyth County,1.01
37071,Gaston County,1.45
37075,Graham County,2.33
37077,Granville County,1.66
37081,Guilford County,1.2
37087,Haywood County,2.72
37099,Jackson County,0.69
37101,Johnston County,0.92
37105,Lee County,1.08
37107,Lenoir County,2.1
37109,Lincoln County,0.63
37111,McDowell County,1.08
37113,Macon County,0.67
37117,Martin County,1.6
37119,Mecklenburg County,0.87
37121,Mitchell County,1.05
37123,Montgomery County,2.12
37127,Nash County,1.83
37129,New Hanover County,0.9
37131,Northampton County,2.22
37133,Onslow County,0.78
37135,Orange County,1.2
37139,Pasquotank County,2.77
37145,Person County,1.37
37147,Pitt County,0.53
37155,Robeson County,1.27
37157,Rockingham County,0.6
37159,Rowan County,1.78
37173,Swain County,0.96
37179,Union County,0.78
37183,Wake County,0.73
37189,Watauga County,0.67
37191,Wayne County,1.93
37199,Yancey County,0.79
38007,Billings County,0
38013,Burke County,0.5
38015,Burleigh County,1.29
38017,Cass County,0.87
38025,Dunn County,1.94
38035,Grand Forks County,0.73
38053,McKenzie County,1.03
38057,Mercer County,0.87
38065,Oliver County,1.34
38089,Stark County,1.13
38091,Steele County,1.2
38101,Ward County,2.06
38105,Williams County,0.81
39001,Adams County,0.96
39003,Allen County,1.31
39007,Ashtabula County,1.57
39009,Athens County,0.26
39013,Belmont County,1.05
39017,Butler County,0.75
39023,Clark County,2.49
39025,Clermont County,0.66
39027,Clinton County,1.53
39029,Columbiana County,1.83
39035,Cuyahoga County,1.23
39041,Delaware County,0.56
39047,Fayette County,1.4
39049,Franklin County,0.76
39051,Fulton County,1.34
39053,Gallia County,1.37
39055,Geauga County,1.19
39057,Greene County,1.17
39061,Hamilton County,0.74
39067,Harrison County,0.75
39081,Jefferson County,1.69
